checkout_session_id,payment_method_type,_fivetran_synced
cs_live_a110NKJ0yXvvJItbBHNnPFdTdZX1qDwkkCxmngWRVAszbzsf6gXXyH4Co9,affirm,2024-08-14 00:52:03.118000+00:00
cs_live_a111c3qXussyAXVvmKP9OtJ3s1sNuBcRagnKDskpckLKsNR8qGEWdZ0stw,affirm,2024-08-14 00:53:32.728000+00:00
cs_live_a112JsnQXLIShV6Nd3rdweIplpNnCQkn49Ln5rBEgpOpZuc2Lu1JcrFe5z,card,2024-08-14 00:46:32.771000+00:00
cs_live_a113tpn21i85Y98QK3nsMYRlYJ2X2HJOzqAfY7fQ2X6HoZPaK66cEWmv1o,affirm,2024-08-14 01:00:17.380000+00:00
cs_live_a115f4fFRMhZRVsk7SdmqcGtpfEBrJ6OkhAIb2mh2mx1QUOTBSQRlKwmni,card,2024-08-14 00:59:32.856000+00:00
cs_live_a1171IWkncek6hr2CzH4jUvdzwfw8PgBpDHPNXq15szXtG0m2prBb0BxWW,card,2024-08-14 00:54:22.118000+00:00
cs_live_a117JYYy8hStmm5IxAnYJevL7bSMYYdPNmakFGVTUEUWSYMJPcnUgWsbWZ,card,2024-08-14 00:43:03.091000+00:00
cs_live_a117VkbEvkmUjsdinGbRxBZ2kQk6gV53GwCFu7qU422zrTAxMt42FWGLUB,affirm,2024-08-14 01:00:30.923000+00:00
cs_live_a117X0otVX79tUyKIkQvUkbDa8RKS3t6apB3ApaMI3oHCjkg8Ntr93dNOG,affirm,2024-08-14 00:59:52.242000+00:00
cs_live_a119py0oB73Z9244Jv42oQJ7KA3b79CjEUAenfZT9JNAQmnq2piuJQGHD7,card,2024-08-14 00:48:07.339000+00:00
cs_live_a11ALC849JdbYzy3ZnbPuuBBymwDsvJcM7jdjYrLYETLjlEJz7P0J4cXtv,card,2024-08-14 00:46:20.980000+00:00
cs_live_a11AP3UjDxK4Zvllrob4K4g1f1xnCl9H77hGdDRsHF4Hzy6SgYvKGnoLPN,affirm,2024-08-14 00:56:49.169000+00:00
