id,active,created,description,display_name,inclusive,jurisdiction,livemode,metadata,percentage,_fivetran_synced
txr_1N5qZhFCPJnn9IgIn7aFFdKR,False,2023-05-09 13:27:29+00:00,,Sales Tax,False,Indiana,True,{},7.0,2025-08-13 00:34:15.226000+00:00
txr_1N6DMIFCPJnn9IgI6NFlZ1cM,False,2023-05-10 13:47:10+00:00,,Sales Tax,False,Illinois,True,{},10.25,2025-08-13 00:34:07.958000+00:00
txr_1N5zibFCPJnn9IgIId9OgxXU,False,2023-05-09 23:13:17+00:00,,Sales Tax,False,Arizona,True,{},8.3,2025-08-13 00:34:19.233000+00:00
txr_1QMl2TFCPJnn9IgIwYS3hBoc,False,2024-11-19 06:35:53+00:00,,VAT,True,United Kingdom,True,{},20.0,2025-08-13 00:34:19.637000+00:00
txr_1QPRGJFCPJnn9IgI84jMqWeJ,False,2024-11-26 16:05:15+00:00,,Sales Tax,False,South Carolina,True,{},8.0,2025-08-01 00:32:04.128000+00:00
txr_1ONjWRFCPJnn9IgIvG17j6no,False,2023-12-15 22:06:19+00:00,,Sales Tax,False,Arizona,True,{},6.6,2025-08-01 00:31:59.936000+00:00
txr_1RK2fhFCPJnn9IgIDtHFObcJ,False,2025-05-01 19:21:25+00:00,,Sales Tax,True,Louisiana,True,{},8.5,2025-08-01 00:31:53.327000+00:00
txr_1N7p2lFCPJnn9IgIo4oxWn7V,False,2023-05-15 00:13:39+00:00,,Sales Tax,False,Ohio,True,{},7.5,2025-08-01 00:34:26.819000+00:00
txr_1NDxwDFCPJnn9IgIsP9O1r3t,False,2023-05-31 22:56:17+00:00,,Sales Tax,False,Arizona,True,{},9.18,2025-08-01 00:34:30.904000+00:00
txr_1RdtkWFCPJnn9IgI6yq1TPMz,False,2025-06-25 13:52:28+00:00,,Sales Tax,True,Missouri,True,{},6.95,2025-08-01 00:31:14.126000+00:00
txr_1RaJgcFCPJnn9IgIM5IfQOJ7,False,2025-06-15 16:45:38+00:00,,Sales Tax,True,New York,True,{},8.625,2025-08-01 00:31:04.763000+00:00
txr_1RRkUWFCPJnn9IgIEvYxJuXC,False,2025-05-23 01:33:44+00:00,,Sales Tax,True,Colorado,True,{},5.9,2025-08-01 00:31:47.494000+00:00
