checkout_session_id,allowed_country_code,_fivetran_synced
cs_live_a129ZFpYmGFEZm3MA6g3T2lOMq61hu22wCK2lG9j2T7k5asDkymxPuI1J2,US,2024-08-14 00:51:59.855000+00:00
cs_live_a12Jy1EqNNcaoY0NdFkXlsr3I6630NDwcPvcn3JqppG81H4sQms01RObnP,US,2024-08-14 00:56:14.547000+00:00
cs_live_a12MN3VEkTaHl87mtuj6BcCdIyuNkxbLIFFZdqHVgopJE3qvsT3IyG1cD6,US,2024-08-14 00:53:17.779000+00:00
cs_live_a12MPQh88gCBzvZ7OTkPHfaebxgAPiHhkq7OLtIaZHWozltk6jds1wRqFV,US,2024-08-14 00:57:18.973000+00:00
cs_live_a12MoxyHdILEe8xVb0ejZ4qFuHtI2A23U56LHXcq7kClYQ8Yr1DHEsAjmm,US,2024-08-14 01:00:09.506000+00:00
cs_live_a12Mw5aT6jH0N5A95LZrVMXEUYQSUQhXy8bnlSW5YTdjXoAjC5YQtzbO1j,US,2024-08-14 00:54:46.356000+00:00
cs_live_a12QVNHFRKvueMHjTQ97yZJGVtRKW40cZj4LbyLfwskCYRXatXFVAHq9Mb,US,2024-08-14 00:56:14.547000+00:00
cs_live_a12R4p0PmrJmw8VSDwyNlqbW2EzSGM1gvwf48IWAWK1GCTMx4kFRMrzLFI,US,2024-08-14 01:00:33.765000+00:00
cs_live_a12SEKaN14QlZFZjCTqXyXSKp59UwA1g3jo0jZ7eTqlafOWHkgLClS53nd,US,2024-08-14 00:42:13.175000+00:00
cs_live_a12UJjsKZ96IutxP4gnh4LXyNZrykM41wb8534HTgzCFCYRfa8cTfxZfbm,US,2024-08-14 00:55:53.223000+00:00
cs_live_a12UiIEypAtrti8lPaxGNrtXrpelEqLhPljgrv62gByTtJd46ayXbnx1th,US,2024-08-14 00:54:51.474000+00:00
