ts,child_id,network_response,reason,carrier_identifier
2023-11-24 02:02:37,64dc006f-55e2-4a17-9600-3d9d5e5bea92,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",Verizon 
2023-11-24 02:02:52,b081255f-e912-493f-b7a6-ebdda6b0c5c9,ERROR,"Reason: 503, SERVER_UNREACHABLE",US  Mobile
2023-11-24 02:07:00,37f13edc-dcda-46fc-9fa4-e8f413a1d374,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,US  Mobile
2023-11-24 02:09:17,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: There's no SIM in your phone, so you can only make emergency calls.",
2023-11-24 02:09:20,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Your phone's not registered on a network, so you can only make emergency calls.",
2023-11-24 02:09:31,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: No cellular network available. Connect to an available Wi-Fi Network to make calls.",Mint
2023-11-24 02:09:33,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: No cellular network available. Connect to an available Wi-Fi Network to make calls.",Mint
2023-11-24 02:09:34,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: No cellular network available. Connect to an available Wi-Fi Network to make calls.",Mint
2023-11-24 04:59:54,deeab861-b392-44eb-bfed-2bc757fe0b6f,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,T-Mobile
2023-11-24 05:13:01,f667895d-c812-4a35-aeff-fa969dcd7df0,ERROR,"Reason: 2501, ERROR_UNSPECIFIED",Verizon 
2023-11-24 05:13:15,f667895d-c812-4a35-aeff-fa969dcd7df0,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 05:13:18,f667895d-c812-4a35-aeff-fa969dcd7df0,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 05:13:28,f667895d-c812-4a35-aeff-fa969dcd7df0,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
